#Patient Identifier	Sample Identifier	Primary Tumor Site	Tumor Type	Sample Origin	Gene Panel	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#Identifier to uniquely specify a patient.	A unique sample identifier.	Text term to describe the organ sub-division in an individual with cancer.	Tumor Type	Sample Origin	Gene panel.	Oncotree Code	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1
PATIENT_ID	SAMPLE_ID	PRIMARY_SITE	TUMOR_TYPE	SAMPLE_ORIGIN	GENE_PANEL	ONCOTREE_CODE	CANCER_TYPE	CANCER_TYPE_DETAILED	TMB_NONSYNONYMOUS
COLO-699	COLO699_LUNG	Lung	Lung_Nsc	Solid	NOVARTIS_BROAD_1651	NSCLC	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	2.652387099
COLO-704	COLO704_OVARY	Ovary	Ovary	Solid	NOVARTIS_BROAD_1651	OCS	Ovarian Cancer	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	11.49367743
COLO_741	COLO741_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	SKCM	Melanoma	Cutaneous Melanoma	4.199612906
COLO-783	COLO783_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	SKCM	Melanoma	Cutaneous Melanoma	8.288709683
COLO_792	COLO792_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	SKCM	Melanoma	Cutaneous Melanoma	22.32425808
COLO-800	COLO800_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	SKCM	Melanoma	Cutaneous Melanoma	0
COLO-818	COLO818_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	SKCM	Melanoma	Cutaneous Melanoma	4.199612906
COLO_829	COLO829_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	SKCM	Melanoma	Cutaneous Melanoma	3.75754839
COLO-849	COLO849_SKIN	Skin	Melanoma	Solid	NOVARTIS_BROAD_1651	SKCM	Melanoma	Cutaneous Melanoma	0
COR-L105	CORL105_LUNG	Lung	Lung_Nsc	Solid	NOVARTIS_BROAD_1651	NSCLC	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	0
COR-L23	CORL23_LUNG	Lung	Lung_Nsc	Solid	NOVARTIS_BROAD_1651	NSCLC	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	5.857354843
COR-L24	CORL24_LUNG	Lung	Lung_Small_Cell	Solid	NOVARTIS_BROAD_1651	SCLC	Small Cell Lung Cancer	Small Cell Lung Cancer	5.415290326
