PATIENT_ID	cBio_scRNA_sample_ID	MxIF_aliquot_ID	thumbnail	minerva
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371902/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371902/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371910/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371910/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371919/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371919/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371924/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371924/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371933/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371933/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371937/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371937/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371945/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371945/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371950/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371950/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371957/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371957/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371962/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371962/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371967/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371967/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371971/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371971/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371977/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371977/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371983/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371983/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371990/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371990/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371995/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371995/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372004/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372004/minerva/index.html#s=0
HTA8_6003	HTA8_6003_002101	HTA8_6003_002102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372010/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372010/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372104/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372104/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372113/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372113/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372119/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372119/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372126/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372126/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372131/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372131/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372138/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372138/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372144/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372144/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372150/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372150/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372158/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372158/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372165/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372165/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372172/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372172/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372177/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372177/minerva/index.html#s=0
HTA8_6004	HTA8_6004_001101	HTA8_6004_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372184/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61372184/minerva/index.html#s=0
